corridor,source_country,dest_country,dest_currency,fee_pct,min_fee_gbp,fx_spread
United Kingdom -> Nigeria,United Kingdom,Nigeria,NGN,0.0095,0.81,0.0051
United Kingdom -> India,United Kingdom,India,INR,0.0042,1.37,0.0047
France -> Portugal,France,Portugal,EUR,0.006,1.61,0.0129
United Kingdom -> Pakistan,United Kingdom,Pakistan,PKR,0.0053,0.82,0.0123
United Kingdom -> Germany,United Kingdom,Germany,EUR,0.0089,1.89,0.0107
United Kingdom -> Poland,United Kingdom,Poland,PLN,0.0082,1.44,0.0123
United Kingdom -> Philippines,United Kingdom,Philippines,PHP,0.0069,1.42,0.0075
Australia -> Philippines,Australia,Philippines,PHP,0.0041,0.99,0.0105
United Kingdom -> Ghana,United Kingdom,Ghana,GHS,0.0042,1.97,0.0124
Netherlands -> Pakistan,Netherlands,Pakistan,PKR,0.0093,0.65,0.012
United Kingdom -> Bangladesh,United Kingdom,Bangladesh,BDT,0.0073,1.76,0.009
United Kingdom -> Kenya,United Kingdom,Kenya,KES,0.0059,0.53,0.014
United Kingdom -> USA,United Kingdom,USA,USD,0.0043,1.55,0.0101
United Kingdom -> Romania,United Kingdom,Romania,RON,0.0082,0.73,0.0141
Germany -> Poland,Germany,Poland,PLN,0.0059,1.9,0.0068
Norway -> Philippines,Norway,Philippines,PHP,0.0093,1.41,0.015
United Kingdom -> France,United Kingdom,France,EUR,0.0063,1.39,0.0094
EIRE -> Nigeria,EIRE,Nigeria,NGN,0.004,1.49,0.0127
Germany -> Ghana,Germany,Ghana,GHS,0.0043,0.78,0.0094
France -> Romania,France,Romania,RON,0.0054,1.27,0.0129
Switzerland -> Philippines,Switzerland,Philippines,PHP,0.0059,1.39,0.0089
Germany -> USA,Germany,USA,USD,0.0074,0.63,0.0067
EIRE -> Ghana,EIRE,Ghana,GHS,0.0058,1.47,0.0053
Spain -> USA,Spain,USA,USD,0.0103,0.51,0.0136
Germany -> Romania,Germany,Romania,RON,0.0059,1.65,0.0099
Poland -> Kenya,Poland,Kenya,KES,0.0108,0.86,0.0096
France -> USA,France,USA,USD,0.0043,1.9,0.0123
Portugal -> USA,Portugal,USA,USD,0.0093,1.44,0.0057
Italy -> India,Italy,India,INR,0.0096,0.76,0.0102
