currency,gbp_mid_rate,as_of
GBP,1.0,"2024-01-01 (illustrative, static)"
EUR,1.17,"2024-01-01 (illustrative, static)"
USD,1.27,"2024-01-01 (illustrative, static)"
INR,105.0,"2024-01-01 (illustrative, static)"
NGN,1150.0,"2024-01-01 (illustrative, static)"
PKR,355.0,"2024-01-01 (illustrative, static)"
PLN,5.05,"2024-01-01 (illustrative, static)"
PHP,71.0,"2024-01-01 (illustrative, static)"
BDT,139.0,"2024-01-01 (illustrative, static)"
KES,200.0,"2024-01-01 (illustrative, static)"
RON,5.8,"2024-01-01 (illustrative, static)"
AUD,1.93,"2024-01-01 (illustrative, static)"
ZAR,23.5,"2024-01-01 (illustrative, static)"
GHS,15.5,"2024-01-01 (illustrative, static)"
LKR,400.0,"2024-01-01 (illustrative, static)"
