transfer_id,customer_id,transfer_ts,source_country,dest_country,corridor,send_currency,dest_currency,send_amount_gbp,fee_gbp,total_cost_gbp,fx_mid_rate,fx_spread,customer_rate,recipient_amount,fx_margin_gbp,n_line_items
536365,17850,2010-12-01 08:26:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,139.12,1.32,140.44,1150.0,0.0051,1144.135,159172.06,0.71,7
536366,17850,2010-12-01 08:28:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536367,13047,2010-12-01 08:34:00,United Kingdom,India,United Kingdom -> India,GBP,INR,278.73,1.37,280.1,105.0,0.0047,104.5065,29129.1,1.31,12
536368,13047,2010-12-01 08:34:00,United Kingdom,India,United Kingdom -> India,GBP,INR,70.05,1.37,71.42,105.0,0.0047,104.5065,7320.68,0.33,4
536369,13047,2010-12-01 08:35:00,United Kingdom,India,United Kingdom -> India,GBP,INR,17.85,1.37,19.22,105.0,0.0047,104.5065,1865.44,0.08,1
536370,12583,2010-12-01 08:45:00,France,Portugal,France -> Portugal,GBP,EUR,855.86,5.14,861.0,1.17,0.0129,1.154907,988.44,11.04,20
536371,13748,2010-12-01 09:00:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,204.0,1.08,205.08,355.0,0.0123,350.6335,71529.23,2.51,1
536372,17850,2010-12-01 09:01:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536373,17850,2010-12-01 09:02:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,259.86,2.47,262.33,1150.0,0.0051,1144.135,297314.92,1.33,16
536374,15100,2010-12-01 09:09:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,350.4,1.86,352.26,355.0,0.0123,350.6335,122861.98,4.31,1
536375,17850,2010-12-01 09:32:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,259.86,2.47,262.33,1150.0,0.0051,1144.135,297314.92,1.33,16
536376,15291,2010-12-01 09:32:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,328.8,1.74,330.54,355.0,0.0123,350.6335,115288.29,4.04,2
